id,name,quantity,price,description,image
1,Product 1,7,26.99,A product.,product1.jpg
2,Product 2,23,9.99,Another product.,product2.jpg
3,Product 3,55,10.5,"Wow, that's some product.",product3.jpg
4,Product 4,43,6,Cheap product.,product4.jpg
5,Product 5,12,56,Expensive product.,product5.jpg
6,Product 6,3,31.26,"Man we're kind of running out of these, huh?",product6.jpg
7,Product 7,123,5.49,Oh wow this is even cheaper.,product7.jpg
8,Product 8,453,10.69,Nice.,product8.jpg
9,Product 9,65,0.99,Dollar store shelf material v2.0.,product9.jpg
10,Product 10,34,12,Just your average product.,product10.jpg
